2025-09-26 00:19:21,364 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 15:21:02,775 | ERROR | restaurant_app | menu:6213 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:21:14,040 | ERROR | restaurant_app | execute_query:2055 | Database operational error: no such column: user_id
2025-09-26 15:21:41,467 | ERROR | restaurant_app | execute_query:2056 | Database operational error: no such column: user_id
2025-09-26 15:21:41,531 | ERROR | restaurant_app | menu:6199 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:21:41,532 | ERROR | restaurant_app | execute_query:2056 | Database operational error: no such column: user_id
2025-09-26 15:21:41,539 | ERROR | restaurant_app | menu:6214 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:22:47,432 | ERROR | restaurant_app | execute_query:2056 | Database operational error: no such column: user_id
2025-09-26 15:22:56,418 | ERROR | restaurant_app | execute_query:2056 | Database operational error: no such column: user_id
2025-09-26 15:22:56,484 | ERROR | restaurant_app | menu:6199 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:22:56,485 | ERROR | restaurant_app | execute_query:2056 | Database operational error: no such column: user_id
2025-09-26 15:22:56,492 | ERROR | restaurant_app | menu:6214 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:29:33,844 | ERROR | restaurant_app | menu:6201 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:29:33,853 | ERROR | restaurant_app | menu:6216 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:36:30,175 | ERROR | restaurant_app | menu:6201 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:36:30,184 | ERROR | restaurant_app | menu:6216 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:36:43,752 | ERROR | restaurant_app | menu:6201 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:36:43,761 | ERROR | restaurant_app | menu:6216 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 16:08:56,783 | ERROR | restaurant_app | cart:6763 | Cart sahifasida xatolik: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:08:56,792 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/cart
2025-09-26 16:09:01,775 | ERROR | restaurant_app | cart:6763 | Cart sahifasida xatolik: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:09:01,783 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/cart
2025-09-26 16:09:28,296 | ERROR | restaurant_app | cart:6763 | Cart sahifasida xatolik: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:09:28,304 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/cart
2025-09-26 16:09:29,972 | ERROR | restaurant_app | menu:6294 | Menu endpoint error: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:09:29,980 | ERROR | restaurant_app | menu:6309 | Menu fallback error: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:09:41,392 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/settings
2025-09-26 16:09:43,457 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/settings
2025-09-26 16:09:44,378 | ERROR | restaurant_app | news_page:10449 | News page error: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead?
2025-09-26 16:09:45,399 | ERROR | restaurant_app | handle_exception:1275 | Unhandled exception: Could not build url for endpoint 'kafolatlar_page'. Did you mean 'kafolatlar' instead? - URL: http://127.0.0.1:5000/settings
